2018-09-04 02:56:11 - ÍøÖ·²É¼¯¿ªÊ¼
2018-09-04 02:56:11: [*] ³ÌĞòÔËĞĞ : µ±Ç°ÓÃ»§ : Langzi
2018-09-04 02:56:11: [*] ³ÌĞòÔËĞĞ : ÓÑÁ´²É¼¯Ïî : ¿ªÆô
2018-09-04 02:56:11: [*] ³ÌĞòÔËĞĞ : ÎŞÏŞ²É¼¯Ïî : ¿ªÆô
2018-09-04 02:56:20: [*] ³ÌĞòÔËĞĞ : ÅúÁ¿µ¼ÈëÍøÖ·ÊäÈë 0 (½«²É¼¯ºÃµÄÍøÖ·ÎÄ±¾ÍÏ×§½øÀ´)   ×Ô¶¯²É¼¯¹Ø¼ü´ÊÊäÈë 1 (°Ù¶È½Ó¿Ú¹Ø¼ü´Ê²É¼¯)
2018-09-04 02:56:20: [*] ³ÌĞòÔËĞĞ : ÇëÑ¡ÔñÆô¶¯·½Ê½(Ñ¡Ïî:0/1):0
2018-09-04 02:56:41: [+] ÍøÖ·Ğ´Èë : http://wlaq.biem.edu.cn
2018-09-04 02:56:41: [+] ÍøÖ·Ğ´Èë : http://bkjwt.sdu.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://www.lzu.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://www.sc.sdu.edu.cn
2018-09-04 02:56:41: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://www.biem.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://coj.cqut.edu.cn
2018-09-04 02:56:41: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='ecard.cuhk.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000000EAA2E80>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : https://i.cuhk.edu.cn
2018-09-04 02:56:41: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:41: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:41: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:41: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:41: [+] ÍøÖ·Ğ´Èë : http://www.sdufe.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://www.fmedsci.com
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://www.ccyl.org.cn
2018-09-04 02:56:41: [+] ÍøÖ·Ğ´Èë : http://wyx.biem.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://xjjyk.fmmu.edu.cn
2018-09-04 02:56:41: [+] ÍøÖ·Ğ´Èë : http://nelcf.jiangnan.edu.cn
2018-09-04 02:56:41: [+] ÍøÖ·Ğ´Èë : http://xxgk.lzu.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://skc.jiangnan.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://kqyxy.lzu.edu.cn
2018-09-04 02:56:41: [+] ÍøÖ·Ğ´Èë : http://www.jspx.sdu.edu.cn
2018-09-04 02:56:41: [+] ÍøÖ·Ğ´Èë : http://www.biem.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://wlaq.biem.edu.cn
2018-09-04 02:56:41: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='www.fmedsci.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000000EC53CF8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://www.fyxh.org
2018-09-04 02:56:41: [+] ÍøÖ·Ğ´Èë : http://www.sc.sdu.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://course.sdu.edu.cn
2018-09-04 02:56:41: [+] ÍøÖ·Ğ´Èë : http://www.lzu.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://www.moe.gov.cn
2018-09-04 02:56:41: [+] ÍøÖ·Ğ´Èë : http://coj.cqut.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://jsjkx.cs.cqut.edu.cn
2018-09-04 02:56:41: [-] ÍøÖ·ÅÅ³ı : http://www.ccyl.org.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://www.cc
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://www.lelisten.net
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://nelcf.jiangnan.edu.cn
2018-09-04 02:56:42: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : https://online.sdu.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://skc.jiangnan.edu.cn
2018-09-04 02:56:42: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='jsjkx.cs.cqut.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000000ED540F0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.tup.com
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://wlaq.biem.edu.cn
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://kqyxy.lzu.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://oa.biem.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.ldey.cn
2018-09-04 02:56:42: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://gs.dlou.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : https://sp16.cuhk.edu.cn
2018-09-04 02:56:42: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:42: [-] ÍøÖ·ÅÅ³ı : http://www.moe.gov.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://jwc.lzu.edu.cn
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://skc.jiangnan.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.pengpeng.com.cn
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://yulu.jit.edu.cn
2018-09-04 02:56:42: [-] ÍøÖ·ÅÅ³ı : http://www.fyxh.org : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://course.sdu.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://jwc.jit.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.hnsfjd.com
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.tsxt.sdu.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.gsau.edu.cn
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://xjjyk.fmmu.edu.cn
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://tdllkf.fmmu.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.crrc.com.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.lelearn.net
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://nelcf.jiangnan.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://skc.jiangnan.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.biem.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.aapd.org
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://oa.biem.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://mail.biem.edu.cn
2018-09-04 02:56:42: [-] ÍøÖ·ÅÅ³ı : http://www.cc : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://jwc.jit.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://sdufe.tiaozhanbei.net
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://skc.jiangnan.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://honorschool.jiangnan.edu.cn
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://gs.dlou.edu.cn
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://jwc.lzu.edu.cn
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://nanyang.xjtu.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://atc.lzu.edu.cn
2018-09-04 02:56:42: [-] ÍøÖ·ÅÅ³ı : http://www.pengpeng.com.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.xjtu-sh.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://honorschool.jiangnan.edu.cn
2018-09-04 02:56:42: [-] ÍøÖ·ÅÅ³ı : http://www.crrc.com.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.39.net
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://www.tsxt.sdu.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.bkjx.sdu.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://xuanshu.hep.com
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://www.gsau.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://lib.gsau.edu.cn
2018-09-04 02:56:42: [-] ÍøÖ·ÅÅ³ı : http://www.ldey.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://press.lzu.edu.cn
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://www.biem.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : https://vpn.cuhk.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://mail.biem.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://fy.haust.edu.cn
2018-09-04 02:56:42: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:42: [+] ÍøÖ·Ğ´Èë : http://skc.jiangnan.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : https://ovip.jiangnan.edu.cn
2018-09-04 02:56:42: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://xb.cs.cqut.edu.cn
2018-09-04 02:56:42: [+] ÓÑÁ´ÅÀĞĞ : http://skc.jiangnan.edu.cn
